STATE,CONSTITUENCY,TOTAL VOTERS,VOTING PCT,TOTAL VOTES POLLED
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,318471,0.65123041,207397
ANDHRA PRADESH,AMALAPURAM,1459556,0.846399864,1235367
ANDHRA PRADESH,ANAKAPALLI,1521363,0.815358333,1240455
ANDHRA PRADESH,ANANTAPUR,1664160,0.810086771,1348114
ANDHRA PRADESH,ARUKU,1451418,0.742883856,1078234
ANDHRA PRADESH,BAPATLA,1468671,0.864726001,1269997
ANDHRA PRADESH,CHITTOOR,1566499,0.842410369,1319634
ANDHRA PRADESH,ELURU,1594950,0.835267563,1332210
ANDHRA PRADESH,GUNTUR,1706119,0.792164556,1351526
ANDHRA PRADESH,HINDUPUR,1578218,0.849075983,1340026
ANDHRA PRADESH,KADAPA,1570330,0.786807232,1235547
ANDHRA PRADESH,KAKINADA,1563930,0.790837186,1236814
ANDHRA PRADESH,KURNOOL,1573009,0.756939089,1190671
ANDHRA PRADESH,MACHILIPATNAM,1473347,0.845389443,1245552
ANDHRA PRADESH,NANDYAL,1603220,0.810734023,1299785
ANDHRA PRADESH,NARASARAOPET,1670391,0.862511831,1440732
ANDHRA PRADESH,NARSAPURAM,1439691,0.819038252,1179162
ANDHRA PRADESH,NELLORE,1672845,0.770639838,1289160
ANDHRA PRADESH,ONGOLE,1556469,0.863494872,1344003
ANDHRA PRADESH,RAJAHMUNDRY,1534256,0.815045208,1250488
ANDHRA PRADESH,RAJAMPET,1546938,0.792631638,1226152
ANDHRA PRADESH,SRIKAKULAM,1553860,0.749286294,1164286
ANDHRA PRADESH,TIRUPATI,1650453,0.797643435,1316472
ANDHRA PRADESH,VIJAYAWADA,1652994,0.773006436,1277774
ANDHRA PRADESH,VISAKHAPATNAM,1829300,0.677811731,1239920
ANDHRA PRADESH,VIZIANAGARAM,1503980,0.812798707,1222432
ARUNACHAL PRADESH,ARUNACHAL EAST,339788,0.870304425,295719
ARUNACHAL PRADESH,ARUNACHAL WEST,463775,0.784964692,364046
ASSAM,AUTONOMOUS DISTRICT,795945,0.776257153,617857
ASSAM,BARPETA,1685149,0.865684874,1458807
ASSAM,DHUBRI,1858566,0.906644155,1685057
ASSAM,DIBRUGARH,1314319,0.773017814,1015991
ASSAM,GAUHATI,2181319,0.808662098,1763950
ASSAM,JORHAT,1365035,0.775672419,1058819
ASSAM,KALIABOR,1734938,0.82123684,1424794
ASSAM,KARIMGANJ,1340173,0.791808222,1061160
ASSAM,KOKRAJHAR,1776358,0.833021272,1479743
ASSAM,LAKHIMPUR,1708013,0.751721445,1283950
ASSAM,MANGALDOI,1800237,0.836789267,1506419
ASSAM,NOWGONG,1794648,0.832265714,1493623
ASSAM,SILCHAR,1195720,0.795077443,950690
ASSAM,TEZPUR,1499639,0.794781277,1191884
BIHAR,ARARIA,1805439,0.647898378,1169740
BIHAR,ARRAH,2089353,0.518085742,1082463
BIHAR,AURANGABAD (BIH),1742883,0.536736545,935469
BIHAR,BANKA,1699394,0.586008895,995859
BIHAR,BEGUSARAI,1958382,0.62628384,1226503
BIHAR,BHAGALPUR,1823820,0.571976401,1043182
BIHAR,BUXAR,1829373,0.539508345,986961
BIHAR,DARBHANGA,1654811,0.583456358,965509
BIHAR,GAYA,1704596,0.561807021,957654
BIHAR,GOPALGANJ,1839514,0.557786459,1026055
BIHAR,HAJIPUR,1823664,0.552557927,1007679
BIHAR,JAHANABAD,1588454,0.517630979,822232
BIHAR,JAMUI,1718814,0.552451283,949561
BIHAR,JHANJHARPUR,1852417,0.573516114,1062390
BIHAR,KARAKAT,1771254,0.490921121,869545
BIHAR,KATIHAR,1653353,0.67637643,1118289
BIHAR,KHAGARIA,1676454,0.577057885,967411
BIHAR,KISHANGANJ,1659651,0.663787748,1101655
BIHAR,MADHEPURA,1884883,0.608871744,1147651
BIHAR,MADHUBANI,1792798,0.538100779,964706
BIHAR,MAHARAJGANJ (BIH),1807768,0.538226697,972988
BIHAR,MUNGER,1888025,0.548955125,1036440
BIHAR,MUZAFFARPUR,1730553,0.611658239,1058506
BIHAR,NALANDA,2114809,0.487927751,1031874
BIHAR,NAWADA,1899747,0.497272005,944691
BIHAR,PASCHIM CHAMPARAN,1633824,0.620246122,1013373
BIHAR,PATALIPUTRA,1925479,0.560280844,1078808
BIHAR,PATNA SAHIB,2146008,0.458031377,982938
BIHAR,PURNIA,1765312,0.653702575,1153988
BIHAR,PURVI CHAMPARAN,1658672,0.602973342,1000134
BIHAR,SAMASTIPUR,1679030,0.607357224,1019770
BIHAR,SARAN,1667253,0.565969892,943615
BIHAR,SASARAM (SC),1787878,0.545661952,975576
BIHAR,SHEOHAR,1686215,0.595966113,1004927
BIHAR,SITAMARHI,1752454,0.593225272,1039599
BIHAR,SIWAN,1799551,0.547275404,984850
BIHAR,SUPAUL,1690620,0.657152997,1110995
BIHAR,UJIARPUR,1612300,0.601539416,969861
BIHAR,VAISHALI,1735983,0.619102261,1074751
BIHAR,VALMIKI NAGAR,1665502,0.619771697,1032231
CHANDIGARH,CHANDIGARH,646729,0.706071631,456637
CHHATTISGARH,BASTAR,1379122,0.662567199,913761
CHHATTISGARH,BILASPUR,1876953,0.644800909,1210260
CHHATTISGARH,DURG,1940269,0.717796862,1392718
CHHATTISGARH,JANJGIR-CHAMPA,1897134,0.658084247,1248473
CHHATTISGARH,KANKER,1558952,0.744245493,1160242
CHHATTISGARH,KORBA,1508840,0.753839373,1137423
CHHATTISGARH,MAHASAMUND,1637951,0.746522332,1222767
CHHATTISGARH,RAIGARH,1733805,0.779061659,1350740
CHHATTISGARH,RAIPUR,2111738,0.661607643,1397142
CHHATTISGARH,RAJNANDGAON,1716459,0.761962855,1307877
CHHATTISGARH,SURGUJA,1655239,0.774036861,1281216
DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,250029,0.795843682,198983
DAMAN & DIU,DAMAN & DIU,121740,0.718523082,87473
GOA,NORTH GOA,556761,0.770538885,429005
GOA,SOUTH GOA,579352,0.733091454,424718
GUJARAT,AHMEDABAD EAST,1811851,0.617635777,1119064
GUJARAT,AHMEDABAD WEST,1643317,0.608058579,999233
GUJARAT,AMRELI,1628451,0.559699371,911442
GUJARAT,ANAND,1655870,0.670393207,1110084
GUJARAT,BANASKANTHA,1697384,0.650258869,1103738
GUJARAT,BARDOLI,1826526,0.738913653,1349644
GUJARAT,BHARUCH,1564519,0.735470774,1150657
GUJARAT,BHAVNAGAR,1768297,0.590535413,1044242
GUJARAT,CHHOTA UDAIPUR,1671253,0.738999421,1235054
GUJARAT,DAHOD,1598939,0.665685808,1064390
GUJARAT,GANDHINAGAR,1945772,0.660830765,1285825
GUJARAT,JAMNAGAR,1657166,0.610348631,1011449
GUJARAT,JUNAGADH,1642864,0.613107354,1007252
GUJARAT,KACHCHH,1744321,0.587135051,1024152
GUJARAT,KHEDA,1804028,0.610396845,1101173
GUJARAT,MAHESANA,1648869,0.657830913,1084676
GUJARAT,NAVSARI,1971658,0.66402794,1309236
GUJARAT,PANCHMAHAL,1744762,0.622272837,1085718
GUJARAT,PATAN,1807043,0.62445498,1128416
GUJARAT,PORBANDAR,1662368,0.572139863,951107
GUJARAT,RAJKOT,1884339,0.634864533,1196299
GUJARAT,SABARKANTHA,1801717,0.677674685,1220977
GUJARAT,SURAT,1655704,0.645799612,1069253
GUJARAT,SURENDRANAGAR,1849429,0.584071624,1080199
GUJARAT,VADODARA,1794896,0.681771534,1223709
GUJARAT,VALSAD,1671030,0.754842223,1261364
HARYANA,AMBALA,1853711,0.710964115,1317922
HARYANA,BHIWANI-MAHENDRAGARH,1654317,0.704765774,1165906
HARYANA,FARIDABAD,2071816,0.641044861,1328126
HARYANA,GURGAON,2150728,0.673307364,1448101
HARYANA,HISAR,1631817,0.724271165,1181877
HARYANA,KARNAL,1904193,0.683477988,1301474
HARYANA,KURUKSHETRA,1657335,0.742858263,1231164
HARYANA,ROHTAK,1737133,0.705181469,1224994
HARYANA,SIRSA,1803349,0.759872881,1370315
HARYANA,SONIPAT,1592611,0.710246256,1131146
HIMACHAL PRADESH,HAMIRPUR (HP),1362269,0.728260718,992086
HIMACHAL PRADESH,KANGRA,1427338,0.707299883,1009555
HIMACHAL PRADESH,MANDI,1281462,0.735993732,943148
HIMACHAL PRADESH,SHIMLA,1259085,0.726836552,915148
JAMMU & KASHMIR,ANANTNAG,1397779,0.089760255,125465
JAMMU & KASHMIR,BARAMULLA,1317738,0.346046786,455999
JAMMU & KASHMIR,JAMMU,2047302,0.72504545,1484387
JAMMU & KASHMIR,LADAKH,179232,0.710531602,127350
JAMMU & KASHMIR,SRINAGAR,1294671,0.144332421,186863
JAMMU & KASHMIR,UDHAMPUR,1685816,0.7015475,1182679
JHARKHAND,CHATRA,1425218,0.649694292,925956
JHARKHAND,DHANBAD,2072634,0.604672605,1253265
JHARKHAND,DUMKA,1397253,0.734284342,1025980
JHARKHAND,GIRIDIH,1649413,0.671242436,1107156
JHARKHAND,GODDA,1716766,0.695693531,1194342
JHARKHAND,HAZARIBAGH,1667465,0.64851856,1081381
JHARKHAND,JAMSHEDPUR,1703279,0.671896383,1144426
JHARKHAND,KHUNTI,1202664,0.692491003,832833
JHARKHAND,KODARMA,1814125,0.66680135,1209660
JHARKHAND,LOHARDAGA,1234286,0.663028666,818367
JHARKHAND,PALAMU,1881441,0.643350496,1210425
JHARKHAND,RAJMAHAL,1454436,0.720453151,1047852
JHARKHAND,RANCHI,1915959,0.644906285,1235614
JHARKHAND,SINGHBHUM,1269917,0.692577546,879516
KARNATAKA,BAGALKOT,1704010,0.706980593,1204702
KARNATAKA,BANGALORE CENTRAL,2204817,0.54321379,1197686
KARNATAKA,BANGALORE NORTH,2849250,0.547626217,1560324
KARNATAKA,BANGALORE RURAL,2497458,0.649790307,1622824
KARNATAKA,BANGALORE SOUTH,2215489,0.53697265,1189656
KARNATAKA,BELGAUM,1779350,0.6784174,1207142
KARNATAKA,BELLARY,1751734,0.697585935,1221985
KARNATAKA,BIDAR,1775095,0.6299691,1118254
KARNATAKA,BIJAPUR,1797587,0.618881311,1112492
KARNATAKA,CHAMARAJANAGAR,1686333,0.753543339,1270725
KARNATAKA,CHIKKBALLAPUR,1808780,0.767360873,1387987
KARNATAKA,CHIKKODI,1612556,0.756242264,1219483
KARNATAKA,CHITRADURGA,1760633,0.707987411,1246506
KARNATAKA,DAKSHINA KANNADA,1724976,0.779922155,1345346
KARNATAKA,DAVANAGERE,1633064,0.731891096,1195225
KARNATAKA,DHARWAD,1727311,0.702906425,1214138
KARNATAKA,GULBARGA,1945765,0.611826711,1190470
KARNATAKA,HASSAN,1652999,0.773535253,1278652
KARNATAKA,HAVERI,1708510,0.742101597,1267888
KARNATAKA,KOLAR,1629961,0.772468176,1259093
KARNATAKA,KOPPAL,1736693,0.68557137,1190626
KARNATAKA,MANDYA,1712004,0.805852089,1379621
KARNATAKA,MYSORE,1896333,0.695079925,1318102
KARNATAKA,RAICHUR,1928204,0.583424783,1124961
KARNATAKA,SHIMOGA,1676668,0.76584452,1284066
KARNATAKA,TUMKUR,1608545,0.77428297,1245468
KARNATAKA,UDUPI CHIKMAGALUR,1513806,0.760746754,1151623
KARNATAKA,UTTARA KANNADA,1556599,0.741610396,1154390
KERALA,ALAPPUZHA,1356701,0.803502025,1090112
KERALA,ALATHUR,1266794,0.804689634,1019375
KERALA,ATTINGAL,1350710,0.744829016,1006048
KERALA,CHALAKUDY,1230197,0.805101134,990432
KERALA,ERNAKULAM,1245972,0.776413916,967390
KERALA,IDUKKI,1204191,0.763632181,919559
KERALA,KANNUR,1266550,0.832770913,1054745
KERALA,KASARAGOD,1363937,0.806561447,1100099
KERALA,KOLLAM,1296720,0.747283145,969017
KERALA,KOTTAYAM,1206698,0.754661067,910647
KERALA,KOZHIKODE,1318024,0.817042785,1076882
KERALA,MALAPPURAM,1370544,0.755027931,1034799
KERALA,MAVELIKKARA,1308102,0.743336529,972359
KERALA,PALAKKAD,1323010,0.777676662,1028873
KERALA,PATHANAMTHITTA,1382741,0.743001039,1027378
KERALA,PONNANI,1356803,0.749825877,1017365
KERALA,THIRUVANANTHAPURAM,1371427,0.737383762,1011267
KERALA,THRISSUR,1337110,0.779383895,1042121
KERALA,VADAKARA,1288926,0.826992395,1065931
KERALA,WAYANAD,1359679,0.803688959,1092759
LAKSHADWEEP,LAKSHADWEEP,55189,0.85209009,47025
MADHYA PRADESH,BALAGHAT,1767725,0.776551783,1372729
MADHYA PRADESH,BETUL,1737437,0.781804463,1358336
MADHYA PRADESH,BHIND,1765334,0.545345527,962716
MADHYA PRADESH,BHOPAL,2142861,0.657377683,1408668
MADHYA PRADESH,CHHINDWARA,1514783,0.824195941,1248477
MADHYA PRADESH,DAMOH,1768777,0.658310799,1164404
MADHYA PRADESH,DEWAS,1760503,0.795054595,1399696
MADHYA PRADESH,DHAR,1786151,0.752553395,1344173
MADHYA PRADESH,GUNA,1675724,0.703401634,1178707
MADHYA PRADESH,GWALIOR,2000744,0.598221462,1196888
MADHYA PRADESH,HOSHANGABAD,1706141,0.742203605,1266304
MADHYA PRADESH,INDORE,2350580,0.693273575,1629595
MADHYA PRADESH,JABALPUR,1819893,0.694579297,1264060
MADHYA PRADESH,KHAJURAHO,1842095,0.683089634,1258316
MADHYA PRADESH,KHANDWA,1909055,0.769048561,1468156
MADHYA PRADESH,KHARGONE,1834385,0.778463627,1428002
MADHYA PRADESH,MANDLA,1951267,0.777920705,1517930
MADHYA PRADESH,MANDSOUR,1760875,0.778894016,1371534
MADHYA PRADESH,MORENA,1837723,0.619643983,1138733
MADHYA PRADESH,RAJGARH,1694329,0.744206113,1260929
MADHYA PRADESH,RATLAM,1851112,0.757023346,1401334
MADHYA PRADESH,REWA,1679534,0.604115189,1014631
MADHYA PRADESH,SAGAR,1583129,0.655370472,1037535
MADHYA PRADESH,SATNA,1575064,0.707117298,1113754
MADHYA PRADESH,SHAHDOL,1656474,0.747664014,1238485
MADHYA PRADESH,SIDHI,1845547,0.695027003,1282705
MADHYA PRADESH,TIKAMGARH,1647399,0.666173768,1097454
MADHYA PRADESH,UJJAIN,1661229,0.754298775,1253062
MADHYA PRADESH,VIDISHA,1741604,0.718310821,1251012
MAHARASHTRA,AHMADNAGAR,1861396,0.647949174,1206089
MAHARASHTRA,AKOLA,1865169,0.600580966,1120185
MAHARASHTRA,AMRAVATI,1833091,0.6076365,1113853
MAHARASHTRA,AURANGABAD (MAH),1886284,0.635496564,1198727
MAHARASHTRA,BARAMATI,2114663,0.618215763,1307318
MAHARASHTRA,BEED,2045405,0.661698783,1353441
MAHARASHTRA,BHANDARA - GONDIYA,1811556,0.688106247,1246543
MAHARASHTRA,BHIWANDI,1890100,0.532037987,1005604
MAHARASHTRA,BULDHANA,1762918,0.635963216,1121151
MAHARASHTRA,CHANDRAPUR,1910188,0.648881681,1239486
MAHARASHTRA,DHULE,1908173,0.570481817,1088577
MAHARASHTRA,DINDORI,1732936,0.657094088,1138701
MAHARASHTRA,GADCHIROLI-CHIMUR,1581366,0.723256981,1143733
MAHARASHTRA,HATKANANGLE,1776555,0.706036683,1254312
MAHARASHTRA,HINGOLI,1733729,0.668366856,1158767
MAHARASHTRA,JALGAON,1931400,0.565541576,1092287
MAHARASHTRA,JALNA,1867220,0.647538051,1209095
MAHARASHTRA,KALYAN,1965676,0.453122488,890692
MAHARASHTRA,KOLHAPUR,1880496,0.708591776,1332504
MAHARASHTRA,LATUR,1886657,0.624431998,1178088
MAHARASHTRA,MADHA,1909574,0.637745906,1217823
MAHARASHTRA,MAVAL,2298080,0.59591311,1369455
MAHARASHTRA,MUMBAI NORTH,1647350,0.600942119,989961
MAHARASHTRA,MUMBAI NORTH CENTRAL,1679891,0.536818758,901797
MAHARASHTRA,MUMBAI NORTH EAST,1588693,0.572282373,909180
MAHARASHTRA,MUMBAI NORTH WEST,1732263,0.543699773,941830
MAHARASHTRA,MUMBAI SOUTH,1554176,0.515899744,801799
MAHARASHTRA,MUMBAI SOUTH CENTRAL,1440380,0.553953123,797902
MAHARASHTRA,NAGPUR,2161096,0.549357826,1187215
MAHARASHTRA,NANDED,1719322,0.656922903,1129462
MAHARASHTRA,NANDURBAR,1871099,0.686519527,1284546
MAHARASHTRA,NASHIK,1885064,0.59525406,1122091
MAHARASHTRA,OSMANABAD,1889740,0.637564956,1204832
MAHARASHTRA,PALGHAR,1885600,0.637567353,1202196
MAHARASHTRA,PARBHANI,1985228,0.631208103,1253091
MAHARASHTRA,PUNE,2075824,0.498912239,1035653
MAHARASHTRA,RAIGAD,1652965,0.621660471,1027582
MAHARASHTRA,RAMTEK,1922764,0.622959968,1197805
